Price,Adj Close,Close,High,Low,Open,Volume
Ticker,148070.KS,148070.KS,148070.KS,148070.KS,148070.KS,148070.KS
Date,,,,,,
2012-05-31,83161.5859375,102855.0,102900.0,102730.0,102880.0,2012
2012-06-01,83420.3125,103175.0,103250.0,102860.0,102860.0,611
2012-06-04,83679.046875,103495.0,103665.0,103310.0,103475.0,837
2012-06-05,83557.7578125,103345.0,103495.0,103250.0,103495.0,468
2012-06-07,83359.671875,103100.0,103350.0,102770.0,103350.0,34
2012-06-08,83792.2421875,103635.0,103640.0,103270.0,103280.0,1276
2012-06-11,83416.265625,103170.0,103615.0,103165.0,103615.0,1324
2012-06-12,83371.8046875,103115.0,103385.0,103115.0,103295.0,899
2012-06-13,83412.21875,103165.0,103220.0,103065.0,103115.0,29844
2012-06-14,83638.625,103445.0,103470.0,103440.0,103470.0,257
2012-06-15,83618.40625,103420.0,103420.0,103140.0,103400.0,2172
2012-06-18,83424.3671875,103180.0,103180.0,103000.0,103135.0,16048
2012-06-19,83565.84375,103355.0,103355.0,103205.0,103205.0,53
2012-06-20,83286.8984375,103010.0,103195.0,103010.0,103155.0,5399
2012-06-21,83347.546875,103085.0,103215.0,103060.0,103060.0,4627
2012-06-22,83683.09375,103500.0,103500.0,103280.0,103455.0,2119
2012-06-25,83650.7421875,103460.0,103460.0,103300.0,103370.0,3433
2012-06-26,83642.6640625,103450.0,103510.0,103320.0,103365.0,1293
2012-06-27,83735.6328125,103565.0,103605.0,103330.0,103330.0,1363
2012-06-28,83844.7890625,103700.0,103700.0,103555.0,103585.0,2401
2012-06-29,83699.2578125,103520.0,103710.0,103455.0,103710.0,2594
2012-07-02,83711.3828125,103535.0,103555.0,103375.0,103520.0,2761
2012-07-03,83763.9375,103600.0,103770.0,103600.0,103685.0,5571
2012-07-04,83929.6796875,103805.0,103850.0,103690.0,103690.0,1700
2012-07-05,84143.9453125,104070.0,104090.0,103905.0,103980.0,1321
2012-07-06,84143.9453125,104070.0,104265.0,104050.0,104050.0,1587
2012-07-09,84204.59375,104145.0,104290.0,104065.0,104095.0,2038
2012-07-10,84293.53125,104255.0,104395.0,104055.0,104195.0,5754
2012-07-11,84257.1484375,104210.0,104280.0,104120.0,104280.0,642
2012-07-12,85639.734375,105920.0,105920.0,105360.0,105360.0,214
2012-07-13,85591.2109375,105860.0,105890.0,105800.0,105800.0,1267
2012-07-16,85854.0,106185.0,106265.0,105930.0,105930.0,517
2012-07-17,86023.796875,106395.0,106405.0,106270.0,106270.0,1718
2012-07-18,86351.2421875,106800.0,106850.0,106525.0,106525.0,1391
2012-07-19,86318.9140625,106760.0,107085.0,105020.0,105020.0,2849
2012-07-20,86209.7578125,106625.0,106665.0,106530.0,106665.0,129
2012-07-23,86767.6328125,107315.0,120000.0,107030.0,120000.0,31477
2012-07-24,86646.359375,107165.0,107475.0,107165.0,107355.0,1911
2012-07-25,87236.5703125,107895.0,107895.0,107620.0,107695.0,28537
2012-07-26,87163.8203125,107805.0,107895.0,107735.0,107895.0,2377
2012-07-27,86670.6171875,107195.0,107730.0,107165.0,107730.0,4861
2012-07-30,86533.171875,107025.0,107095.0,106595.0,106595.0,238
2012-07-31,86525.078125,107015.0,107200.0,106700.0,107130.0,2363
2012-08-01,86419.9765625,106885.0,107305.0,106885.0,107075.0,682
2012-08-02,86549.3359375,107045.0,107045.0,106885.0,106885.0,122
2012-08-03,87111.2578125,107740.0,107740.0,107660.0,107660.0,29
2012-08-06,87163.8203125,107805.0,107805.0,107000.0,107000.0,836
2012-08-07,87192.125,107840.0,107840.0,107690.0,107690.0,2505
2012-08-08,87091.03125,107715.0,107715.0,107625.0,107715.0,1687
2012-08-09,87042.5390625,107655.0,108175.0,107480.0,107715.0,758
2012-08-10,87143.6015625,107780.0,107805.0,107535.0,107580.0,644
2012-08-13,87038.5,107650.0,107900.0,107630.0,107880.0,291
2012-08-14,86779.7578125,107330.0,107600.0,107315.0,107510.0,490
2012-08-16,86165.2890625,106570.0,107140.0,106555.0,107140.0,979
2012-08-17,86351.2421875,106800.0,106880.0,106535.0,106535.0,301
2012-08-20,86306.765625,106745.0,106835.0,106620.0,106620.0,410
2012-08-21,86561.46875,107060.0,107060.0,106725.0,106725.0,706
2012-08-22,86561.46875,107060.0,107290.0,106800.0,107100.0,1048
2012-08-23,86654.4453125,107175.0,107230.0,106925.0,106925.0,582
2012-08-24,86953.59375,107545.0,107590.0,107260.0,107260.0,2424
2012-08-27,87087.0,107710.0,107745.0,107360.0,107605.0,1048
2012-08-28,87107.2265625,107735.0,107840.0,107670.0,107710.0,512
2012-08-29,87305.3046875,107980.0,107980.0,107770.0,107840.0,270
2012-08-30,87325.5234375,108005.0,108130.0,107900.0,107900.0,933
2012-08-31,87394.2421875,108090.0,108165.0,108000.0,108000.0,301
2012-09-03,87580.2109375,108320.0,108350.0,108270.0,108270.0,277
2012-09-04,87531.703125,108260.0,108410.0,108260.0,108320.0,69
2012-09-05,87685.3203125,108450.0,108450.0,108120.0,108250.0,1357
2012-09-06,87580.2109375,108320.0,108460.0,108305.0,108450.0,2577
2012-09-07,87208.2890625,107860.0,108400.0,107720.0,108400.0,999
2012-09-10,87462.9765625,108175.0,108175.0,107870.0,107870.0,2263
2012-09-11,87527.6640625,108255.0,108275.0,108000.0,108120.0,110202
2012-09-12,87426.578125,108130.0,108210.0,108100.0,108100.0,160
2012-09-13,87228.5,107885.0,108010.0,107735.0,107935.0,2126
2012-09-14,86933.390625,107520.0,107740.0,107425.0,107740.0,1117
2012-09-17,86892.96875,107470.0,107685.0,107050.0,107060.0,225
2012-09-18,87058.7109375,107675.0,107880.0,107465.0,107595.0,49553
2012-09-19,86977.8671875,107575.0,107750.0,107565.0,107750.0,472
2012-09-20,87281.046875,107950.0,107950.0,107605.0,107605.0,492
2012-09-21,87325.5234375,108005.0,108080.0,107920.0,108045.0,213
2012-09-24,87406.3671875,108105.0,108180.0,107950.0,108005.0,870
2012-09-25,87495.3046875,108215.0,108255.0,108100.0,108100.0,803
2012-09-26,87442.7578125,108150.0,108240.0,108065.0,108240.0,1610
2012-09-27,87434.6796875,108140.0,108455.0,108140.0,108215.0,680
2012-09-28,87737.875,108515.0,108515.0,108205.0,108205.0,49
2012-10-02,87984.4765625,108820.0,108820.0,108370.0,108515.0,1715
2012-10-04,88130.0078125,109000.0,109000.0,108815.0,108820.0,723
2012-10-05,88117.890625,108985.0,108985.0,108905.0,108905.0,364
2012-10-08,88061.2890625,108915.0,108985.0,108780.0,108985.0,120
2012-10-09,88061.2890625,108915.0,108975.0,108815.0,108880.0,1072
2012-10-10,88396.8203125,109330.0,109330.0,108925.0,108925.0,134
2012-10-11,88295.7734375,109205.0,109610.0,109190.0,109490.0,1219
2012-10-12,88162.359375,109040.0,109275.0,109040.0,109195.0,30407
2012-10-15,88243.203125,109140.0,109280.0,109040.0,109040.0,5050
2012-10-16,88178.5390625,109060.0,109210.0,109060.0,109140.0,434
2012-10-17,87968.3046875,108800.0,108895.0,108800.0,108865.0,129
2012-10-18,87754.046875,108535.0,108730.0,108500.0,108695.0,1128
2012-10-19,87705.5390625,108475.0,108540.0,108475.0,108500.0,289
2012-10-22,87749.9921875,108530.0,108720.0,108530.0,108710.0,270
2012-10-23,87572.1171875,108310.0,108535.0,108310.0,108440.0,275
2012-10-24,87842.9921875,108645.0,108665.0,108510.0,108665.0,240
2012-10-25,87923.84375,108745.0,108755.0,108505.0,108755.0,264
2012-10-26,88073.421875,108930.0,108930.0,108725.0,108745.0,652
2012-10-29,88113.8359375,108980.0,108980.0,108930.0,108935.0,46
2012-10-30,88113.8359375,108980.0,108985.0,108765.0,108985.0,753
2012-10-31,88130.0078125,109000.0,109160.0,108840.0,108840.0,330
2012-11-01,88251.2890625,109150.0,109150.0,109005.0,109005.0,44
2012-11-02,88041.0703125,108890.0,109020.0,108835.0,109020.0,2210
2012-11-05,87996.609375,108835.0,109120.0,108825.0,108955.0,540
2012-11-06,88077.4609375,108935.0,108975.0,108855.0,108855.0,112
2012-11-07,88037.03125,108885.0,108885.0,108845.0,108845.0,525
2012-11-08,88287.671875,109195.0,109200.0,108940.0,108940.0,1133
2012-11-09,88227.0390625,109120.0,109255.0,109120.0,109160.0,385
2012-11-12,88053.1875,108905.0,109065.0,108905.0,108955.0,230
2012-11-13,88239.171875,109135.0,109135.0,108890.0,108890.0,201
2012-11-14,88239.171875,109135.0,109135.0,109025.0,109130.0,53
2012-11-15,88352.359375,109275.0,109325.0,109075.0,109075.0,580
2012-11-16,88271.5078125,109175.0,109250.0,109120.0,109250.0,342
2012-11-19,88178.5390625,109060.0,109140.0,108700.0,108700.0,75
2012-11-20,88105.7578125,108970.0,109125.0,108970.0,109125.0,248
2012-11-21,88178.5390625,109060.0,109060.0,108885.0,109020.0,831
2012-11-22,88134.0625,109005.0,109005.0,108845.0,109000.0,1139
2012-11-23,87940.0078125,108765.0,108935.0,108630.0,108905.0,305
2012-11-26,88000.65625,108840.0,108840.0,108705.0,108705.0,9565
2012-11-27,87842.9921875,108645.0,108875.0,108640.0,108795.0,457
2012-11-28,88024.90625,108870.0,108920.0,108670.0,108670.0,293
2012-11-29,87948.1015625,108775.0,108965.0,108775.0,108890.0,254
2012-11-30,88024.90625,108870.0,109025.0,108870.0,108870.0,522
2012-12-03,87968.3046875,108800.0,108850.0,108715.0,108850.0,308
2012-12-04,87935.9453125,108760.0,108910.0,108760.0,108910.0,583
2012-12-05,87660.6015625,104100.0,108325.0,104100.0,108325.0,454
2012-12-06,87694.296875,104140.0,104160.0,104105.0,104105.0,88
